"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
32.2,25.9,28.6,204,20.5,45.3,74.3,2148,6.38,26.4,27.1
39.6,20.2,93.1,505,58.8,5.52,30.8,1843,7.1,18.4,18.8
28.1,13,7.99,145,16.3,17,34.3,649,11.8,30.2,52.8
37.9,20.2,41.4,42.6,14.6,11.4,27.6,429,32.2,85.1,112
22.1,14.3,71,215,55.2,16.8,30.2,491,6.61,16.4,29.2
41,31.9,20,105,16.8,34,67.9,1640,16,36.5,32.2
40.7,31.3,12.7,127,13.8,16.7,26.9,382,33.7,70.4,67.9
48.3,20.9,20.5,64.9,13.7,29.7,47,1065,5.73,3.02,15.7
76.4,70.4,16.5,124,15.5,10.2,37.2,685,18.8,18.4,7.04
46.1,20.2,18.1,81.3,8.82,18.3,39.2,567,11.4,15.7,32.5
50.5,32.5,22.9,26.7,5.57,3.4,14.5,235,5.19,13.7,11.8
95.6,59.4,49.1,437,50,13.6,24.6,588,49.1,115,164
42.9,25.5,15.7,23.1,3.72,30.2,41,730,22.1,46.6,7.23
92.2,92.2,27.6,39.6,2.37,34.6,62.1,820,4.29,14.9,37.9
64.9,51.9,17,135,16.7,15,23.9,764,7.57,17,26.9
133,80.6,28.4,36.8,6.61,37.9,51.9,343,111,331,355
184,85.8,8.98,213,6.79,20.2,24.1,730,13,33.4,28.4
38.2,25.9,24.1,20.9,6.98,22.9,43.3,271,7.1,12.1,23.7
32.2,10.8,12.6,27.4,10.6,18.6,40.7,813,22.3,32.5,41.4
33.1,14.1,24.8,23.3,4.45,7.91,14.5,1155,4.14,12.6,4.29
45.3,31.1,23.1,30,12.1,8.35,24.6,573,9.91,18.9,20.7
53.3,34.9,19.3,47.8,10.1,3.49,17.2,173,18.9,53.3,55.2
75,50.9,16.4,29.7,9.14,61,108,1395,7.3,17.3,40.3
106,58.8,14.6,18.3,3.65,11.5,21.7,661,7.1,18.1,30.2
163,94.7,17.5,23.9,6.92,13.8,46.1,400,8.13,11.8,17.3
122,143,27.4,33.4,6.85,21.9,31.3,547,8.82,25,23.1
48.3,23.9,18.8,42.6,6.55,40.3,50.5,453,20.4,33.1,52.8
36.8,13.3,14.6,24.8,9.73,70.4,118,1009,5.99,7.91,10.5
32.2,23.7,64.9,426,71,5.28,23.9,274,9.91,35.2,29.4
77.7,55.2,18.3,127,11.9,55.2,84.3,1055,46.1,93.9,105
28.6,31.6,40.7,433,56.7,3.43,12.4,898,5.73,28.4,13.7
191,115,13.1,12.5,3.31,21.7,25.7,514,11.4,12.9,17
32.2,16.7,33.1,311,45.7,37.5,63.2,698,12.5,36.2,56.7
26.4,24.1,18.6,14.7,5.05,9.06,18.9,1104,8.74,17.5,12.5
