"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
28.6,22.1,8.9,15.3,63.8,26.9,70.4,698,21.3,34.6,5.09
108,51.4,13.5,168,24.6,6.44,17,437,15.5,27.6,5.94
120,107,7.43,158,54.7,20,32.5,279,29.7,46.6,11.5
106,25.5,5.28,204,14.2,4.78,29.4,673,19.6,24.6,22.1
37.9,19.6,17.2,91.4,25.9,31.1,44.9,562,3.02,18.3,15.1
29.4,29.7,17,319,54.7,33.1,45.3,382,18.3,18.6,8.13
211,88.2,11.9,157,24.4,45.7,94.7,1715,14.1,7.5,13.6
51.9,29.4,10.7,113,37.5,34,58.8,692,7.91,2.37,9.47
63.8,19.6,4.49,227,27.1,13.2,13.7,433,11.3,21.7,12.9
73.7,32.8,51.9,528,157,25.5,60.4,1084,9.14,12,7.43
19.5,13.8,16.4,528,150,2.86,1,147,11,5.78,13.9
39.2,17.6,1.73,5.62,6.21,16.1,32.8,757,15.1,12.6,11.8
68.5,34.6,10.7,207,52.8,13.8,22.9,313,17.6,12.4,9.47
61,25.5,8.74,99.1,37.9,6.92,22.7,1554,1,1,4.53
33.4,23.3,2,31.1,15.4,23.1,40.3,337,18.8,35.2,6.21
86.6,24.1,11.4,204,38.9,51.9,90.6,673,31.1,36.8,10.1
77,21.1,2.33,7.17,3.13,38.5,119,1472,13.6,15.5,11.3
106,66.7,5.83,188,30.2,8.82,23.7,500,21.9,35.5,15.4
25.5,1.25,15,229,59.9,14.5,25.3,269,27.4,35.9,27.6
136,71,21.7,53.8,31.9,17.5,28.4,375,30.5,38.2,12.1
111,38.2,16.1,264,65.5,25,33.1,437,1,3.85,5.14
90.6,29.4,17.5,18.4,3,34.9,41,655,20.4,25.3,11.3
6.1,21.3,69.8,125,196,10.9,44.5,1322,13.8,5.94,8.82
64.9,21.1,6.49,143,44.1,34,66.1,655,22.1,26.7,4.45
37.2,20.9,11,143,29.2,2.81,25.7,704,27.6,34.6,8.98
84.3,35.2,8.13,153,24.1,5.57,17.6,547,6.67,6.92,17.5
51.9,23.9,2.76,271,40.3,25.3,28.9,211,22.3,32.8,6.55
51.9,29.4,10.7,113,37.5,34,58.8,692,7.91,2.37,9.47
83.5,54.2,1.84,4.53,15.3,6.98,18.9,764,22.9,25.9,2.17
70.4,23.1,15.4,145,39.6,67.9,106,1275,21.7,32.2,2.76
105,80.6,7.91,229,42.2,5.42,22.9,1370,10.8,19.8,1.29
106,108,6.79,74.3,53.8,10.4,25.7,567,60.4,88.2,28.1
51.9,29.4,10.7,113,37.5,34,58.8,692,7.91,2.37,9.47
19.5,13.8,7.17,22.3,37.5,12.2,34.9,644,19.3,32.5,12.4
14.3,23.1,11.7,158,40,11.3,21.1,470,18.9,29.2,10.1
54.2,22.3,13,161,62.6,31.9,45.7,284,25,29.2,4.91
28.4,20.4,25.3,51.9,24.8,4.96,16.3,922,23.5,42.6,11.9
73.7,27.6,20.5,19.6,21.1,26.7,62.6,1334,20.2,36.5,6.79
