"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
334,496,151,253,14.7,115,750,17.2,138,890,255
483,757,259,491,15.3,75.7,474,12.3,69.8,414,250
22.3,24.8,200,343,7.23,40.7,279,12.6,33.7,200,137
56.2,103,239,449,22.1,71.7,547,12.1,82,474,231
93.1,132,474,757,24.8,64.9,437,8.9,105,557,184
195,337,179,319,10.6,77,478,17.5,46.6,90.6,500
227,362,138,253,2.27,56.2,392,6.67,198,1219,281
372,519,478,799,22.3,47.8,281,6.49,61,385,145
1715,2350,118,195,5.99,37.2,241,4.87,129,685,250
578,1009,248,523,3.92,56.7,313,23.9,55.7,313,44.9
1747,2267,99.1,184,5.33,48.3,372,6.61,392,2167,890
1065,1625,396,704,13.9,127,799,5.57,71,457,66.1
150,248,313,610,13.5,55.2,297,95.6,56.2,355,163
22.3,24.8,200,343,7.23,40.7,279,12.6,33.7,200,137
122,209,965,1540,10.3,160,882,55.2,799,4105,2227
313,491,165,661,22.7,73,500,14.3,79.1,538,262
66.1,95.6,255,457,10.7,16.4,97.3,11.1,68.5,392,269
1370,1911,22.1,54.7,57.8,104,538,19.3,1094,5328,1407
253,403,95.6,164,11.5,74.3,542,16.5,60.4,340,136
297,514,308,547,22.1,67.3,355,6.85,75,433,519
195,325,250,433,8.82,143,1037,84.3,57.8,349,132
70.4,90.6,375,644,12.3,24.8,132,6.85,241,1446,922
294,400,183,325,3,27.9,176,2.53,157,890,365
154,239,271,500,1.01,69.2,445,10.6,784,3854,1037
200,300,289,496,5.88,63.8,368,9.06,93.1,562,319
231,284,109,209,6.15,119,698,8.66,75,389,227
138,246,129,259,19.6,67.3,362,31.3,65.5,379,533
621,931,64.9,157,13.3,29.7,175,13.9,64.4,349,168
281,433,271,461,7.5,60.4,340,19.3,137,851,389
184,289,284,478,10.3,42.2,325,7.7,95.6,542,244
138,255,54.2,90.6,5.14,42.6,300,2.48,158,939,253
1486,2227,743,1407,15.3,106,698,28.1,139,799,322
538,843,67.9,108,5.19,16.4,106,1,138,906,355
483,770,133,267,9.73,77.7,557,12.4,161,874,557
167,313,193,368,12.6,55.2,274,17.2,50.9,279,150
1114,1611,685,1252,17.2,58.8,375,9.91,1155,6378,2035
202,269,229,375,18.6,18.8,106,6.26,42.9,250,193
346,583,407,704,12.2,46.6,219,103,828,3995,1811
297,491,328,632,29.4,62.6,375,11.9,63.2,441,179
710,1094,542,982,16.3,35.2,113,19.5,124,843,176
262,437,250,445,7.7,44.5,297,2.41,95.6,626,111
1046,1625,311,542,18.3,77,644,4.1,135,874,264
311,519,205,359,4.7,75,466,12.6,102,615,233
175,264,61.5,124,3.75,62.1,426,7.23,191,1084,346
44.1,86.6,125,215,6.79,54.2,389,16.5,15.1,77,956
253,368,96.5,170,3.22,122,552,22.7,30.2,158,362
160,248,375,704,8.51,27.4,142,4.49,117,730,146
547,874,328,426,24.1,48.7,325,8.06,58.8,403,276
202,325,667,1155,11.3,103,514,16.3,509,2642,982
557,939,269,491,12.5,17.8,97.3,13.1,1611,7499,2247
231,346,183,331,17.9,105,599,13.1,51.9,343,300
750,1298,385,667,5.38,42.9,264,7.91,78.4,429,284
813,1230,368,638,22.1,60.4,379,15.3,19.3,112,119
221,385,279,538,7.1,124,764,25.5,250,1298,157
225,334,189,337,7.37,158,1144,40.7,135,764,151
167,211,235,414,9.31,125,799,37.5,102,632,325
770,1197,264,392,4.83,21.3,150,15.3,81.3,433,179
692,931,276,478,14.6,113,626,15.8,396,2017,496
151,264,375,632,25,56.7,362,4.33,219,1176,250
215,365,124,219,3.43,82,519,10.6,30.5,158,47
200,286,267,478,7.99,60.4,375,6.92,223,1219,1843
233,375,355,632,4.26,75.7,491,14.7,89,478,141
346,583,1911,2943,100,132,632,40,153,882,264
1114,1611,685,1252,17.2,58.8,375,9.91,1155,6378,2035
588,874,308,583,11.3,89.8,583,11.9,57.3,313,219
