"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
28.4,19.8,10.2,4.57,30.8,6.38,18.1,973,21.9,47.8,18.9
44.5,25.9,13.1,6.67,17.6,86.6,165,1928,14.5,32.5,19.6
58.3,33.7,9.47,4.41,14.3,7.04,28.4,478,17.9,35.9,12.2
173,164,7.57,1,3.52,14.3,26.7,491,1.18,704,77
34,13.8,4.7,6.49,21.3,16.3,45.7,403,4.91,18.6,61.5
93.1,27.1,3.79,1.75,20.9,17,29.7,583,35.5,61,32.2
106,23.9,8.74,1.18,28.1,8.51,26.9,717,17.8,32.5,14.2
16.1,17.9,1.83,1.01,10.3,53.3,94.7,542,17.6,42.2,16.1
73,31.9,5,1,10.4,22.9,46.1,300,5.05,25.9,71
21.7,36.8,4.07,1,23.1,34.9,62.6,379,33.4,71.7,18.3
98.2,30,5.47,2.27,11.7,3.46,19.6,820,40,71.7,40
62.1,23.1,3.52,2.79,39.2,11.3,15.7,400,2.79,34.9,66.7
15.7,16.3,5.38,93.9,22.7,32.5,66.1,655,42.2,107,34.6
60.4,22.5,2.41,3.34,7.3,17.5,20.5,284,42.2,89,70.4
69.8,22.5,5.73,1.01,16.1,35.5,45.3,313,20.7,53.3,20.5
87.4,41.8,1,2.71,9.82,30.2,63.2,396,1,106,10
56.2,38.9,12,9.39,11.7,66.1,125,638,13.2,50,6.67
107,129,15.8,1.03,10.9,49.6,99.1,1298,28.4,50.9,31.1
94.7,44.5,5.05,2.59,19.1,30,53.3,610,27.1,52.3,13.8
12.9,20.4,3.19,1.01,8.2,8.66,31.9,655,18.8,31.3,11.7
14.2,7.1,10.6,4.14,9.91,34,55.2,308,21.5,64.4,21.7
60.4,19.8,1,1.95,34.9,4.78,21.1,692,33.4,83.5,30.2
35.2,21.1,14.5,1.11,6.61,11.3,30.5,922,12.6,37.9,6.85
62.6,37.9,1.18,1.95,14.5,17.3,32.8,372,1.02,26.7,52.8
191,67.9,1,1.37,1.93,43.3,63.2,552,10.1,34.6,12
47.4,25,1.01,2.15,34.6,28.9,61,1778,16.8,33.1,27.9
63.2,29.2,2.46,1.91,1.42,25.7,54.7,337,33.1,79.1,31.6
132,172,2.15,2.25,8.66,16.4,33.1,426,38.2,64.9,21.9
40.3,26.2,6.67,1,12.5,11.2,44.5,784,18.4,33.7,12.5
81.3,24.6,1,5.42,11.2,6.49,18.6,466,20.4,42.2,25
28.1,44.1,1.08,3.62,9.65,43.7,87.4,552,12.7,25.5,6.73
53.3,21.5,6.85,2.92,39.2,19.1,55.7,679,64.9,114,47.8
13.1,27.9,12.4,1,10.8,39.6,112,743,22.9,32.8,21.7
130,49.1,13.3,6.21,3.79,43.3,79.1,770,2.79,17.2,65.5
56.7,25.9,1.83,3.96,21.7,13.5,26.2,698,22.3,53.8,4.26
44.1,15.3,3.43,2.41,5.88,17.5,43.3,349,35.5,83.5,37.9
49.1,23.1,1.83,1.7,15,47,104,2072,39.2,73,38.5
56.2,8.98,8.9,5.14,35.2,17.8,60.4,1370,25.9,37.5,11
69.2,16.4,5.99,1.21,13.7,14.7,34,281,2.27,19.8,83.5
77,28.6,11.2,3.28,16.4,14.6,35.9,355,25.3,41.8,13.3
132,172,2.15,2.25,8.66,16.4,33.1,426,38.2,64.9,21.9
151,153,9.73,1.01,21.9,67.9,132,2571,90.6,114,25.5
88.2,27.1,12.2,1.01,3.59,20.5,29.7,392,16.1,41.8,18.1
50.9,30,12.1,1.79,21.7,1.64,20,770,29.2,66.7,18.8
62.1,39.2,4.66,3.37,8.13,28.1,69.2,1275,28.4,50.9,14.2
63.8,34.3,3.34,1,14.3,15,63.8,931,1,20,67.9
87.4,20.5,4.18,1.03,1.36,59.4,161,1084,17.8,35.5,14.1
18.6,11.3,2.59,1,1.19,15.4,24.4,426,20.4,44.9,8.98
60.4,29.7,10.5,1,1,27.6,50.9,626,37.5,79.9,44.5
103,44.1,3.52,1.38,19.6,10.5,20.4,396,15.5,36.2,32.8
21.1,15.8,7.43,2.48,21.5,13.8,36.2,784,25.3,45.3,82
41.8,18.8,18.8,7.43,25.3,10.7,19.6,429,21.3,55.2,18.1
48.3,19.1,3.08,1.96,8.13,13.8,44.9,1134,22.1,41.8,6.92
44.1,26.9,8.2,1,10.8,4.26,20.2,667,23.7,75,16.3
75.7,23.9,1,1.64,26.9,19.3,34.9,311,21.9,41,16.1
82,43.3,1.86,1,13.2,19.8,54.7,2167,11.2,17.9,8.74
90.6,36.5,4.74,1.01,19.6,23.3,30,271,26.9,40.7,16.3
78.4,42.6,8.28,1.5,20.2,49.6,97.3,784,13.7,19.1,9.06
23.7,22.5,6.15,2.44,13.7,5.52,38.2,552,37.5,86.6,58.8
106,23.9,8.74,1.18,28.1,8.51,26.9,717,17.8,32.5,14.2
76.4,41.4,5.88,5.14,12.9,62.1,117,445,12.7,23.7,3.85
40.3,23.7,8.06,1,16.5,7.43,31.3,1094,13.6,30.2,11
49.1,29.2,2.53,1.42,5.73,18.6,48.7,1165,27.9,40.7,21.9
40,25.9,5.42,4.18,8.13,13,29.4,250,2.23,21.3,37.9
73,22.1,9.31,1.01,12.4,28.4,38.2,349,13.7,31.3,17.2
28.1,17.6,1.63,1.01,17.2,19.1,28.1,221,42.2,114,73.7
18.3,14.2,3.85,7.99,18.4,50.9,105,1009,37.9,56.2,23.1
82.8,27.6,1,2.17,15,5.52,22.3,487,16.1,39.6,6.79
36.2,31.9,1.23,8.74,9.22,8.13,24.1,355,25,58.3,31.9
72.3,75,3,1.98,6.55,54.2,118,1027,27.9,67.3,27.1
80.6,30,18.8,1.65,15.4,19.8,54.7,281,21.5,41,13.9
67.9,24.6,2.5,1.01,12.7,21.3,44.9,523,26.7,47,10.1
359,365,13.3,1,32.2,11.2,20.4,491,13.5,39.2,13.6
110,53.3,3.89,1,14.3,12.5,33.1,292,31.9,75.7,69.2
64.9,43.3,6.1,1,28.4,10,22.9,491,12.2,25.9,6.61
80.6,32.5,9.73,1,13.3,25.3,28.4,229,32.8,47.4,10.7
82.8,37.5,1,7.3,1.12,15.3,24.6,396,14.9,34.9,8.98
175,77,3.72,2.33,11.3,10.1,26.9,588,24.4,37.5,25.7
13.8,12.4,13.9,7.3,12.9,5.42,16.1,588,15.3,42.2,10.7
111,107,4.53,5.38,9.06,12.3,20.2,319,2.35,105,5.28
40.3,26.2,6.67,1,12.5,11.2,44.5,784,18.4,33.7,12.5
66.7,42.2,8.66,3.65,13.3,19.3,71.7,692,18.8,47.4,10.9
53.8,38.2,8.43,1,24.8,22.1,45.7,257,7.77,4.91,62.1
67.9,30.8,6.73,1.22,17.3,62.6,104,547,1.72,42.9,3.31
61.5,25.5,6.15,2.46,13.3,34.3,56.7,365,2.53,17.2,54.7
77.7,24.8,5,1.01,6.92,18.8,28.4,221,9.91,16.5,8.28
7.1,21.7,4.49,2.97,18.4,21.9,101,1230,22.5,48.7,34.6
71,47.4,2.97,3.11,16.5,27.6,35.2,241,1,68.5,4.29
42.9,39.2,10.9,3.31,12.3,36.2,76.4,487,13.7,31.3,11.1
57.8,34.3,4.87,1.95,14.6,16.8,32.8,289,13.2,23.9,22.1
87.4,20.5,4.18,1.03,1.36,59.4,161,1084,17.8,35.5,14.1
59.9,35.2,8.66,1.33,14.9,6.79,29.4,12,14.1,36.8,13.3
50.5,19.6,3.37,5.67,1.93,20.7,36.8,429,17.5,41.8,10.5
84.3,47.8,14.9,48.7,34.3,26.9,38.5,267,24.4,58.3,42.6
121,38.9,15.4,25.3,24.6,27.6,45.7,346,15.8,40.3,13.1
30,19.6,2.76,2.37,1,20.7,36.5,835,23.3,42.9,24.4
110,65.5,8.35,1.01,20.4,18.1,33.1,396,35.9,66.1,19.3
23.3,27.4,9.06,1.01,6.92,25,77.7,478,39.2,109,26.2
63.8,27.4,4.57,1.76,15.4,3.43,19.8,362,36.8,82.8,28.6
41.8,18.8,18.8,7.43,25.3,10.7,19.6,429,21.3,55.2,18.1
40.7,19.1,1.55,3.96,4.03,27.9,46.1,281,23.7,30.8,27.4
73,25.3,14.9,4.66,48.3,4.7,22.1,478,27.9,43.7,7.77
9.47,4.57,1.47,5.05,4.18,311,644,1946,13.1,30.2,13.3
50,31.1,1.86,1.79,7.64,19.1,33.1,267,3.34,21.1,56.2
75.7,23.9,1,1.64,26.9,19.3,34.9,311,21.9,41,16.1
