"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
209,311,6.79,49.6,19.3,16.5,178,191,3.75,31.1,21.7
55.2,85.1,6.04,20.2,5,1.96,67.9,126,4.66,22.5,8.2
1877,2690,23.1,27.6,4.74,9.22,77.7,322,1,22.9,14.1
1395,2110,23.3,33.4,5.57,2.48,19.8,103,6.92,48.3,25.7
698,1144,2.25,13.8,10.5,1,40.7,118,20.5,73,42.9
105,155,17.2,19.3,6.85,1,31.9,137,1,12.9,8.9
528,828,15,12.5,1,1.06,53.8,119,2.57,22.7,2.64
491,750,21.3,15.3,9.65,5.14,117,407,3.46,47,5.14
1018,1446,4.07,122,13.3,3.08,14.6,64.4,3.89,27.6,13.9
181,279,4.61,281,50.9,5.23,50.9,215,1.72,28.1,13
25.9,64.9,43.3,55.7,7.57,22.9,66.1,931,14.2,40.7,19.1
349,441,50,328,79.1,2.02,28.1,58.3,1,15.5,4.07
153,235,37.9,146,43.3,4.1,198,533,1.51,17,2.84
235,334,17.8,13.8,14.1,4.07,102,349,2.48,11.9,1
474,799,16.4,20,25.5,13.2,56.2,1358,1.61,37.9,8.06
181,271,3.96,17,25.9,1.72,110,262,1,26.9,5.05
23.9,32.5,15.4,4.03,23.3,5.14,49.6,1877,3.59,57.3,6.79
24.4,18.4,3.68,1.67,12.2,8.13,32.5,179,2.09,18.8,3.43
55.2,85.1,6.04,20.2,5,1.96,67.9,126,4.66,22.5,8.2
433,588,15.5,14.5,13.2,4.33,17.6,71,2.86,22.3,3.46
1582,2308,45.7,48.7,11.8,2.37,77.7,259,7.37,40.7,5.05
40,51.9,17.6,164,56.7,1.43,56.2,122,3.46,28.4,4.66
204,308,26.2,23.1,5.52,5.42,58.3,176,12.4,80.6,158
25.7,113,9.82,20.2,33.7,4.1,113,385,18.3,56.7,67.3
172,279,5.99,28.1,47,6.21,72.3,325,3.72,32.8,8.58
461,784,20.2,24.1,7.43,1.1,20.2,87.4,1.64,19.1,2.53
120,153,10.9,13.8,10.6,1,48.3,67.3,1.46,61.5,19.1
965,1554,5.67,57.8,24.4,3.65,73.7,255,1.13,37.5,2.76
547,906,26.9,319,50.9,1.24,124,340,9.91,34,20.2
170,215,17.2,24.8,8.58,5.14,121,349,6.15,14.7,8.9
117,157,8.2,16.4,28.1,15,101,355,2.59,44.1,9.91
281,400,9.73,23.1,30.5,25.5,153,2054,38.5,79.1,237
104,139,12.3,40.3,15.5,1,17.8,107,1,49.1,6.61
56.7,47.4,13.6,141,46.6,1.76,44.5,161,1.89,34.3,12.4
599,828,3.72,25.7,16.8,16.3,196,143,3.34,24.1,13.3
207,331,1.1,11.7,6.26,8.98,44.9,284,4.45,41,8.98
359,594,10,10.6,1,1,41.4,117,9.14,43.7,34.9
757,1124,17.9,13.5,4.7,4.29,29.2,132,5.42,44.9,13.3
9.39,12,78.4,165,47.4,10.7,56.2,2714,3.82,34,2.29
389,426,36.8,119,23.1,1,36.8,87.4,12,43.7,20.9
93.9,145,11.8,410,62.6,4.96,91.4,223,33.1,79.9,20.9
71.7,115,25,36.8,10.5,3.08,71.7,259,1,15.5,7.7
147,176,11.2,34.9,36.8,6.21,54.2,1459,16.3,55.7,32.2
302,445,13.3,25.7,2.53,7.17,90.6,1144,1.13,5.62,5.83
98.2,168,24.8,55.2,9.06,7.7,54.7,1370,1.73,40.3,5.09
279,379,13.6,13.8,4.49,2.48,69.8,101,1.36,46.6,3.89
965,1472,2.17,16,46.1,1.17,39.6,130,1,16.5,3.89
302,445,7.64,6.26,4.45,10,52.8,1358,1.29,33.4,8.2
196,281,13.9,39.6,17,1,27.1,87.4,1,26.2,9.47
1009,1420,21.1,26.7,53.3,6.49,67.3,346,1,31.6,1.79
372,599,10.9,107,17.9,1,36.5,79.1,4.87,30.8,9.91
1794,2393,17.3,51.4,31.6,1.09,26.2,124,6.85,35.9,3.62
403,610,6.32,106,12.5,16.1,186,1094,3.02,30.2,15.8
72.3,90.6,64.4,158,25,4.49,78.4,248,12.4,38.5,17.9
1018,1486,13.1,23.9,25.9,5.42,44.9,1794,2.35,15.3,13.5
1219,1827,64.4,98.2,10.5,1,26.7,85.1,1.27,22.9,20.7
276,396,12.9,19.3,6.67,1.51,108,281,1.24,24.1,9.91
2738,3924,14.9,11.1,6.04,2.57,78.4,221,1.65,18.1,3.4
331,429,4.03,15.8,61.5,5.33,89,365,4.66,56.7,205
31.3,34.6,7.57,150,21.1,1.31,118,257,31.1,58.8,22.3
213,302,16.5,16.4,48.3,1,38.5,98.2,1,19.3,3.85
204,244,18.4,27.6,25.9,1,42.2,82,5.99,5.62,3.75
165,246,13.6,8.06,15.8,1,28.4,136,1,24.4,4.18
178,289,8.13,231,31.6,20,64.4,965,1.03,23.7,6.49
213,302,16.5,16.4,48.3,1,38.5,98.2,1,19.3,3.85
649,1027,17,47.4,17.5,1,56.7,146,20.4,47,9.82
153,235,37.9,146,43.3,4.1,198,533,1.51,17,2.84
274,375,1.26,322,40,1,23.9,85.8,2.81,10,4.14
193,136,9.91,198,35.2,3.59,47,204,2.59,33.7,5.62
313,509,9.47,34.9,30.2,1.73,33.4,70.4,1.08,23.5,4.29
1124,1554,13,83.5,41.4,1,53.3,94.7,4.29,34.3,14.9
615,939,11.4,63.8,14.9,21.9,67.3,1433,1,20.2,17
271,418,6.98,12.5,29.4,1,45.3,64.9,1.1,17.3,9.56
39.2,38.2,9.06,80.6,25,1.47,66.1,195,1.89,50.9,1
1433,2072,14.6,29.4,13.8,2.71,44.1,102,4.53,34,8.51
143,281,19.5,34.6,8.82,1.86,196,368,1.98,66.7,9.06
777,1241,7.5,84.3,13.8,13.3,69.8,1843,6.15,21.9,7.91
305,445,10.3,20,8.58,1,19.3,106,1,26.7,5.78
215,375,4.83,54.7,7.5,1,49.1,163,2.07,18.9,6.32
99.1,158,20,18.3,3.55,39.6,133,4614,1,13.2,1
1472,2129,11,5.47,20,1,23.3,78.4,1,10.8,6.21
1046,1486,18.9,18.1,15.5,1.86,31.3,113,1,17.6,6.98
698,1144,2.25,13.8,10.5,1,40.7,118,20.5,73,42.9
97.3,95.6,3.65,2.84,1165,7.5,160,429,2.86,43.7,7.5
337,509,15,106,30.5,2.04,149,389,2.35,23.7,13.8
453,685,9.91,15,10.8,9.82,109,322,1.55,10.6,7.99
426,661,4.78,20.5,46.6,5.42,123,241,8.66,31.9,2.25
178,308,15.4,145,25,3.19,34.9,158,1,13.6,10.6
478,723,18.4,21.3,1,12.4,91.4,2503,1.73,39.6,12.5
81.3,139,21.3,20.9,8.35,1,12.6,50,1.12,45.3,12.9
355,523,14.1,25.9,16.5,2.09,93.9,294,5.67,30.2,6.15
127,219,30,50.5,14.9,2.79,18.6,73,3.13,28.1,6.26
122,181,19.5,9.65,2.07,1.54,45.7,96.5,6.1,23.7,4.1
24.4,18.4,3.68,1.67,12.2,8.13,32.5,179,2.09,18.8,3.43
215,337,44.1,109,87.4,3.89,25.5,1778,1,11.7,1
1472,2072,34.9,28.9,19.6,7.7,49.6,2308,10.7,40.3,68.5
528,828,15,12.5,1,1.06,53.8,119,2.57,22.7,2.64
87.4,167,25.5,379,66.7,1,45.7,57.8,33.1,57.8,43.3
71.7,114,1.65,2.94,22.1,3.68,79.1,178,2.02,7.1,5
334,533,31.9,41.8,1.86,1,22.5,22.9,1.33,44.5,11.7
