"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
50.5,13.6,12.2,15.3,21.9,20.5,26.9,365,23.3,44.1,19.8
76.4,41.4,18.4,281,68.5,9.22,21.5,667,16.4,29.4,14.2
89.8,35.9,15.4,51.9,14.2,25.7,56.2,1165,17.3,22.3,6.92
62.6,26.4,9.22,15.8,61.5,6.26,9.91,311,2.97,17.3,124
80.6,20.9,13.6,76.4,20.2,28.9,35.5,246,8.2,18.4,74.3
19.3,17.3,20,34,8.9,12,24.6,523,15.7,24.6,20.7
52.3,25,9.82,119,16.3,24.4,92.2,1582,2.41,12.4,58.3
41.8,23.9,4.53,14.5,32.2,12.3,24.1,441,17.9,29.2,12.4
56.2,30.2,16.4,16.4,16.4,5.33,13.9,610,1.88,1.05,5.62
96.5,30.2,14.1,23.5,13.7,28.6,48.3,1124,13.7,19.8,5.05
181,93.9,8.74,147,19.3,18.8,18.6,355,7.57,15.7,73
42.6,14.7,17.9,6.73,31.6,10.6,67.3,2571,1,63.8,4.1
28.1,17.8,10.3,21.1,35.5,17.8,29.2,835,3.31,12.5,2.23
35.9,34.9,4.14,13.2,30,7.64,25,638,17.6,30,7.99
43.7,21.5,10.5,29.7,26.2,11.4,19.5,422,11.7,39.6,9.22
32.5,25.7,6.55,264,61,9.22,14.6,523,23.1,39.2,18.8
100,25.7,1,241,33.7,19.5,29.4,552,24.1,47,27.9
33.4,23.3,5.38,198,66.7,10.6,24.6,685,18.1,33.4,8.2
115,37.9,32.8,34,18.1,19.6,27.6,445,12.6,17.3,10.6
33.1,9.31,14.9,12.6,7.84,17.2,75.7,2571,15.3,36.8,19.3
26.7,18.9,19.6,14.3,4.41,18.8,25,457,16.8,19.8,11.5
16,7.77,1,239,30.2,11.7,20.4,562,1.36,1.27,1.06
28.9,20.4,18.3,25.3,11.8,5.14,20.5,23.1,20,26.9,14.6
33.1,11.2,13.2,86.6,10.8,26.2,39.6,382,49.1,73,20.2
13.7,25.9,23.9,36.8,11.9,8.28,21.9,799,25.7,47.8,16.1
73,28.6,14.1,23.3,3.43,379,730,3854,14.9,33.7,16.5
31.3,13.1,9.22,101,12.4,6.73,13.6,422,19.6,33.1,10
66.7,23.5,1,124,14.9,11.5,17.2,461,37.5,59.4,21.3
57.8,16.5,11.2,83.5,11.8,31.3,44.1,1794,18.1,35.5,11.7
50,25.5,47.4,257,20.7,1,4.07,188,3.82,18.4,89
34,24.1,3.65,47.8,31.9,22.5,59.9,1358,38.9,67.3,18.9
110,36.8,32.8,44.9,7.04,8.28,17.6,129,9.06,8.06,5.14
14.9,16.8,12.5,31.6,12.7,17.8,28.1,276,18.1,35.9,19.1
13.2,9.14,4.91,2.71,1.29,12.3,24.4,474,15.3,16.5,7.64
34,17.8,19.1,16.1,6.73,6.21,13.1,667,12.3,5.99,3.43
11,14.7,15.8,42.9,18.3,16,33.4,362,37.9,56.7,45.3
69.8,22.3,13.5,418,87.4,6.44,46.6,259,19.5,39.6,15.8
76.4,22.7,10.1,71.7,24.4,38.5,88.2,500,20.9,24.1,13.2
66.7,23.7,9.39,16,40,17.3,29.2,407,15.7,41.8,7.57
49.1,18.4,14.6,23.7,6.49,4.7,12.7,136,3.92,25,127
44.9,22.1,12.1,41.8,14.6,9.47,21.1,429,25.7,39.2,14.3
60.4,16.5,9.39,155,22.7,19.3,62.1,567,17,23.7,13.2
31.9,17.3,12.4,20.4,5.42,7.91,9.82,770,12.7,17.2,6.67
51.9,58.8,6.44,176,10.3,4.37,18.3,851,13.1,25.7,21.1
59.4,33.1,14.2,10.4,9.31,12,27.9,276,17.6,7.84,2.79
6.61,18.8,1.14,141,12.3,22.5,22.7,437,18.4,23.1,10.5
55.7,24.8,9.31,114,15.4,10.2,17.2,414,17.2,32.5,13.1
75.7,17.6,11.1,30,5.23,28.6,46.6,225,15.4,40,18.4
193,61,28.9,74.3,35.2,27.1,40.7,259,40.3,53.8,11.3
85.1,33.4,12.4,50,20.2,10.6,19.6,898,16.7,34.3,1.35
135,198,5.38,120,13.7,9.73,23.1,519,10.1,26.9,13.9
19.5,26.4,7.5,21.5,93.9,3.46,13.7,882,22.5,41.8,13
