"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
26.4,37.2,41.4,183,33.7,103,175,1395,15.7,29.7,59.9
26.7,15.7,25.3,31.1,5.67,8.66,29.7,1009,12.6,42.6,33.7
9.91,21.7,19.8,18.9,7.1,33.4,50.9,533,19.6,42.9,44.9
33.4,19.8,17,20.5,6.26,29.2,43.3,284,1,11.4,33.4
26.4,11.2,63.8,542,92.2,13.7,28.6,723,15.4,30,34.3
18.1,23.7,7.77,41.8,26.2,42.9,54.2,538,10.6,47,81.3
74.3,42.2,24.1,28.6,7.57,18.4,37.9,552,22.5,39.6,47.8
12.1,7.57,18.9,22.3,8.2,5.14,22.1,626,3.85,16,26.9
12.3,9.47,17.3,13.6,15.4,33.4,57.8,437,16.7,26.9,68.5
14.9,17.9,17.8,26.9,13.5,19.3,35.2,965,7.3,23.1,31.1
47,18.6,13.3,35.5,3.16,20.5,28.9,578,10.4,24.1,36.5
28.1,24.8,20.9,23.7,6.38,12.5,27.1,414,13.1,27.6,32.8
12.1,7.57,18.9,22.3,8.2,5.14,22.1,626,3.85,16,26.9
16.5,8.43,16,17.3,1.39,17.5,22.3,599,32.8,44.9,71.7
22.9,11.4,122,337,50.5,6.61,41.8,626,11.5,31.9,51.9
20,13.1,17.9,44.9,5.38,3.85,8.82,305,17,27.1,64.9
27.6,18.1,35.5,340,26.9,17.9,30,379,7.7,39.6,42.9
16.7,9.82,20.2,372,57.8,65.5,89,362,8.43,15.4,40.3
33.1,22.7,4.22,3.08,12.5,60.4,107,1358,7.7,6.55,30.5
12.1,10.5,21.3,18.9,4.26,176,483,8354,15.1,9.06,53.8
28.1,24.8,20.9,23.7,6.38,12.5,27.1,414,13.1,27.6,32.8
18.4,11.5,5.62,15.8,9.82,4,17.8,523,28.4,58.8,126
28.9,15.1,14.6,5.14,29.2,63.8,79.9,191,22.3,36.2,51.4
12.9,6.79,80.6,461,79.9,27.4,45.7,311,20,36.2,24.6
27.9,16.7,4.87,8.43,16.8,76.4,127,1395,17.5,25.5,29.2
6.55,10.2,16.8,22.9,1,82.8,113,679,14.5,20.7,59.9
59.4,75,22.7,29.2,3.75,32.2,42.6,615,3.37,17.6,80.6
31.6,15.1,9.82,235,24.1,9.73,31.9,770,8.74,27.4,46.1
28.6,14.5,16.3,21.7,4.29,30.8,46.6,349,22.9,41.4,1.43
12.6,16.3,15.5,62.6,19.1,28.6,47,483,6.32,20,43.7
26.4,11.3,11.1,29.2,10.6,1,3.25,305,73,157,237
10.3,18.3,23.9,27.4,1.22,24.4,38.2,710,18.8,15,41
15,20.7,25,24.6,5.88,106,176,3023,12.1,18.6,35.2
90.6,62.6,1.76,3.34,5.42,27.1,95.6,1382,29.2,52.3,106
24.4,32.5,17.2,32.2,11.8,44.5,61.5,346,8.9,14.3,21.5
71.7,59.4,13.3,379,21.1,30.2,41,723,44.1,119,160
79.9,56.2,17.5,17.2,10.2,138,217,615,8.43,21.7,47.8
38.5,27.1,34,31.6,3.62,114,202,2017,33.4,77.7,167
37.2,37.9,13.3,154,17.2,37.2,50.9,313,16.4,28.4,31.3
62.6,52.3,35.9,233,49.1,167,271,2207,6.85,12.2,44.1
17.3,10.1,28.1,27.9,3.28,44.9,66.1,403,7.17,23.7,42.9
28.4,21.7,38.2,170,37.2,29.7,39.6,692,9.22,17.5,69.2
90.6,42.9,13,14.1,45.7,87.4,142,2503,20.2,36.5,58.8
19.8,11.7,23.5,16.7,15.1,3.37,19.3,470,13.7,31.1,56.7
119,96.5,61,453,85.8,20.5,34.9,422,6.98,21.1,24.4
11,18.6,12.6,269,17.6,15.4,28.1,487,8.9,20.9,32.5
13.5,21.9,35.5,40.7,7.91,44.9,103,3460,1.18,18.6,58.3
17.8,20.4,23.5,133,29.2,15,21.7,599,29.7,62.1,108
76.4,70.4,21.1,25.7,5.33,38.5,62.1,483,15.4,16.3,44.1
24.6,17.5,27.9,18.1,19.1,14.9,26.9,496,40,55.2,85.1
40,23.7,2.15,60.4,8.28,23.9,45.7,284,8.35,7.3,43.3
27.6,16,18.9,26.7,12.5,82.8,127,1700,103,138,33.7
26.2,12.4,21.1,24.4,4.96,114,244,1946,1.25,18.6,4.78
