"praf","pmek","plcg","pip2","pip3","p44.42","pakts473","pka","pkc","p38","pjnk"
21.1,1,12.4,86.6,24.4,27.4,36.8,385,1,1,1.07
79.9,20.5,36.5,18.9,13.9,16.7,19.3,343,1,1999,2
47,1.3,47.4,115,22.1,8.28,12.1,300,1.64,1.84,1.42
118,2.46,36.5,66.1,8.66,7.5,50.9,704,1,1208,1.76
46.1,2.44,39.6,362,66.1,4.07,8.58,233,5.28,2.35,1.1
53.8,1,23.7,101,22.1,3.02,15.3,352,1,2.09,1
36.5,1,29.7,30,19.5,12.5,12.2,246,1.86,103,2.84
22.3,3.34,34.9,271,55.2,11.7,31.9,567,3,1,1.61
35.2,1.29,39.2,279,64.4,10.9,15.7,319,1.06,1.01,1.23
61,2.21,42.6,227,98.2,4.03,13.7,217,5.78,26.9,3.49
33.1,1,11.5,414,50.5,15,25.7,340,1,10.6,2.11
67.3,21.9,8.9,205,34.9,28.6,34.9,276,3.11,95.6,3.37
45.7,1.01,23.7,83.5,46.6,33.4,42.2,1018,1,13.1,1.33
130,47,9.31,157,31.9,33.4,54.2,685,1,8.06,1.01
46.1,2.44,39.6,362,66.1,4.07,8.58,233,5.28,2.35,1.1
31.3,1.01,54.2,189,94.7,22.1,31.3,221,1,11.2,1.84
113,1.01,20.7,23.9,16.3,9.31,15.1,289,1,61,1
33.7,4.7,49.1,362,98.2,11.9,16.3,346,1,3.34,1.45
31.6,2.39,5.33,183,31.6,10.6,12.5,382,1.42,120,1.67
35.2,1.29,39.2,279,64.4,10.9,15.7,319,1.06,1.01,1.23
54.7,2.94,37.5,264,54.2,10,12.3,297,1.27,806,2.89
64.4,1,25.7,123,31.9,10.6,19.1,316,1,1,1
38.2,2.29,35.9,27.6,18.6,16.4,26.2,422,2.35,1,1.49
36.5,3.52,25,69.8,8.35,13.2,25,328,1.12,289,1.41
44.5,1,23.9,48.7,5.05,8.66,25.5,552,1.47,9.06,4.53
48.7,1,48.3,97.3,24.4,8.66,12.6,289,1,5.88,1.64
54.2,1,12.2,108,36.8,81.3,118,1928,3.72,26.4,1
21.9,1,19.3,139,24.1,14.3,23.9,835,1.06,28.1,1.83
60.4,9.82,34.3,50.9,32.5,22.3,21.7,269,1,157,1.67
9.39,4,23.3,30.5,25.3,17.9,22.5,279,1,1,1.65
9.56,1.06,27.1,77.7,22.1,12.9,17.3,368,1,1,1.06
36.5,1,46.1,15,67.3,7.7,34.3,638,1,1.01,1.53
50,6.26,10.4,117,34.6,12.4,15.4,207,2.97,167,3.02
9.65,1.75,18.9,25.7,1.57,53.8,54.7,343,1,1.91,1.04
143,1.01,16.1,122,26.7,15.1,43.3,1134,1,3.46,1
36.5,2.25,17,27.6,8.9,91.4,120,1358,1,6.26,2.92
135,1,4.57,337,45.3,53.8,56.7,1114,1,4.07,1.67
18.1,1,23.1,12.6,7.43,21.3,23.5,279,1,17.9,8.66
23.5,1.58,18.1,15.3,3.4,71,108,2091,1,2.5,1
189,15.4,14.2,331,50.9,4.87,17.2,346,12,135,12.2
46.6,1.73,11,133,25.5,11.8,13.2,246,1,105,4.45
62.6,1.08,18.4,12.7,13,74.3,85.1,1252,1,2.21,1.75
31.6,2.89,25.3,92.2,22.9,5.67,8.74,264,14.5,264,1.12
32.2,1.01,20.4,89,31.9,5.09,25.3,403,1,5.62,3.52
38.2,1.01,28.4,15.7,17,3.72,34.9,59.9,1,1,1.3
34.6,1.01,8.51,244,22.7,196,215,2167,1.81,2.41,1.29
13.9,2.48,66.1,264,95.6,8.98,11.9,362,1.83,14.3,1.37
20,1,2.74,4.7,23.7,47.8,65.5,1446,1,27.6,1.5
4.83,1.35,29.2,10.4,4.49,4.33,9.39,331,1,100,1.08
41.8,1,71.7,410,202,12.1,30,1655,1,173,1.73
53.8,1.21,15,100,44.5,57.3,67.3,1843,3.43,6.79,1.06
29.4,1.01,16.1,164,15.3,59.4,75.7,1124,9.65,1,1.2
170,1,20.2,138,13.7,14.1,11.7,352,1,1,1.41
16.4,1.01,32.8,35.2,6.26,10.2,16.8,233,1,25.5,6.98
50.9,2.15,29.2,21.7,38.9,18.6,25.9,407,1.45,111,11.9
21.1,1,12.4,86.6,24.4,27.4,36.8,385,1,1,1.07
