praf,pmek,plcg,PIP2,PIP3,p44.42,pakts473,PKA,PKC,P38,pjnk,INT
1,1,1,1,2,2,2,1,1,1,1,8
3,2,3,1,2,1,2,1,1,3,1,8
1,1,3,2,2,1,1,1,1,1,1,8
3,1,3,1,1,1,3,2,1,3,1,8
1,1,3,3,3,1,1,1,1,1,1,8
2,1,2,2,2,1,1,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,3,2,3,1,2,1,1,1,1,8
1,1,3,2,3,1,1,1,1,1,1,8
2,1,3,2,3,1,1,1,1,1,1,8
1,1,1,3,3,1,2,1,1,1,1,8
3,2,1,2,2,2,2,1,1,1,1,8
1,1,2,1,3,2,2,2,1,1,1,8
3,3,1,2,2,2,3,2,1,1,1,8
1,1,3,3,3,1,1,1,1,1,1,8
1,1,3,2,3,2,2,1,1,1,1,8
3,1,1,1,2,1,1,1,1,1,1,8
1,1,3,3,3,1,1,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
1,1,3,2,3,1,1,1,1,1,1,8
2,1,3,2,3,1,1,1,1,3,1,8
2,1,2,2,2,1,2,1,1,1,1,8
1,1,3,1,2,1,2,1,1,1,1,8
1,1,2,1,1,1,2,1,1,2,1,8
1,1,2,1,1,1,2,1,1,1,2,8
1,1,3,2,2,1,1,1,1,1,1,8
2,1,1,2,2,3,3,3,1,1,1,8
1,1,1,2,2,1,2,2,1,1,1,8
2,2,3,1,2,2,2,1,1,1,1,8
1,1,2,1,2,1,2,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,3,1,3,1,2,2,1,1,1,8
1,2,1,2,2,1,1,1,1,1,1,8
1,1,1,1,1,3,3,1,1,1,1,8
3,1,1,2,2,1,2,2,1,1,1,8
1,1,1,1,1,3,3,3,1,1,1,8
3,1,1,3,3,3,3,2,1,1,1,8
1,1,2,1,1,2,2,1,1,1,2,8
1,1,1,1,1,3,3,3,1,1,1,8
3,2,1,3,3,1,1,1,2,1,3,8
1,1,1,2,2,1,1,1,1,1,2,8
2,1,1,1,1,3,3,2,1,1,1,8
1,1,2,1,2,1,1,1,2,2,1,8
1,1,1,1,2,1,2,1,1,1,1,8
1,1,2,1,2,1,2,1,1,1,1,8
1,1,1,2,2,3,3,3,1,1,1,8
1,1,3,2,3,1,1,1,1,1,1,8
1,1,1,1,2,3,3,3,1,1,1,8
1,1,2,1,1,1,1,1,1,1,1,8
1,1,3,3,3,1,2,3,1,1,1,8
2,1,1,2,3,3,3,3,1,1,1,8
1,1,1,2,2,3,3,2,2,1,1,8
3,1,1,2,2,1,1,1,1,1,1,8
1,1,3,1,1,1,1,1,1,1,2,8
1,1,2,1,2,1,2,1,1,1,3,8
1,1,1,1,2,2,2,1,1,1,1,8
1,1,2,1,2,1,1,1,1,2,2,8
1,1,1,1,2,1,2,2,1,1,1,8
2,1,2,2,2,2,2,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
1,1,1,2,2,2,2,1,1,1,1,8
3,1,1,1,1,1,3,2,1,1,1,8
1,1,3,2,3,1,2,1,1,1,2,8
2,2,1,1,1,2,2,1,3,1,1,8
1,1,1,2,2,1,2,1,1,1,1,8
1,1,1,1,2,1,1,1,1,1,1,8
1,1,3,1,3,1,1,1,1,1,1,8
1,1,1,1,1,1,1,1,1,1,2,8
1,1,2,1,2,3,3,3,1,1,1,8
1,1,1,1,2,1,1,1,1,1,1,8
1,1,1,2,2,2,2,1,1,1,1,8
2,1,1,1,2,1,2,2,1,1,1,8
2,1,1,1,2,1,2,1,1,1,1,8
1,1,2,1,2,2,3,2,1,1,1,8
1,1,1,1,2,1,1,1,2,1,1,8
1,1,1,2,2,1,1,1,1,1,2,8
2,1,1,1,2,2,2,1,2,3,1,8
3,2,3,1,2,3,3,3,1,1,1,8
1,1,2,2,2,1,1,1,1,1,1,8
1,1,2,1,1,1,2,2,1,1,1,8
1,1,2,2,3,1,2,1,1,1,1,8
1,1,1,1,1,1,1,2,1,1,1,8
1,2,1,1,1,1,1,1,1,1,1,8
1,1,3,3,3,1,2,1,1,3,1,8
1,1,2,1,2,1,2,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
2,1,1,1,1,3,3,2,1,1,1,8
3,1,1,2,2,1,2,2,1,1,1,8
1,1,3,1,3,1,2,2,1,1,1,8
2,1,1,1,2,1,2,2,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
2,2,1,2,2,1,1,1,1,1,1,8
3,1,2,1,2,1,1,1,1,1,1,8
1,1,1,2,2,1,2,1,1,1,1,8
1,1,2,1,2,1,2,1,1,1,1,8
2,1,1,1,1,3,3,2,2,3,3,8
1,1,1,2,2,2,2,1,1,1,1,8
2,2,2,1,2,2,2,1,3,3,1,8
1,1,3,2,2,1,1,1,1,1,1,8
1,1,1,2,2,3,3,3,1,1,1,8
3,2,1,1,1,1,1,1,1,2,1,8
3,1,3,2,3,2,2,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,2,1,2,2,2,1,3,3,2,8
3,1,1,2,2,1,1,1,1,1,1,8
1,1,2,1,1,1,2,1,1,2,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,1,2,2,3,3,3,1,1,1,8
3,3,1,2,2,2,3,2,1,1,1,8
1,1,2,3,3,1,1,1,1,1,1,8
3,1,2,1,3,3,3,2,1,1,1,8
2,1,2,1,2,3,3,3,1,1,1,8
1,1,1,1,2,1,2,1,1,3,2,8
1,1,1,1,1,1,2,1,1,1,1,8
3,2,2,1,1,3,3,2,1,1,1,8
1,1,1,2,2,3,3,2,1,1,1,8
1,1,1,2,2,1,2,1,1,1,2,8
3,2,1,2,2,1,1,1,1,1,1,8
1,1,1,2,2,3,3,3,1,3,1,8
1,1,2,1,2,1,1,1,1,1,1,8
3,1,1,1,2,1,1,1,1,1,1,8
1,1,2,1,1,1,2,1,2,2,1,8
1,2,2,1,1,2,2,1,1,1,2,8
1,1,2,1,2,1,1,1,1,1,1,8
1,2,1,2,2,2,2,1,1,1,1,8
1,1,1,2,3,1,2,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
1,1,2,1,2,1,2,1,3,1,2,8
1,1,2,1,2,2,2,2,1,2,1,8
1,1,1,1,2,1,1,1,1,1,1,8
3,1,1,2,2,3,3,3,1,1,1,8
1,1,3,2,3,1,2,1,1,1,1,8
1,1,1,2,3,1,1,1,1,3,1,8
1,1,3,2,2,1,1,1,1,1,1,8
1,1,1,2,2,1,1,2,1,1,1,8
1,1,1,2,2,1,1,2,2,1,1,8
1,1,1,1,2,1,1,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
3,3,2,2,2,3,3,3,1,1,1,8
1,1,1,1,1,3,3,2,1,1,1,8
1,1,1,2,2,2,2,1,1,1,1,8
1,1,1,2,2,1,2,2,1,1,1,8
1,1,2,1,2,2,2,1,1,1,1,8
1,1,2,1,1,3,3,2,1,1,1,8
3,1,1,2,2,1,2,1,1,1,1,8
1,1,1,2,2,1,2,1,1,1,1,8
1,1,1,2,2,1,1,1,1,1,1,8
1,1,3,3,3,1,1,1,1,1,1,8
1,1,3,3,3,1,1,1,1,1,1,8
2,1,1,1,1,1,2,2,1,1,1,8
1,1,1,1,2,3,3,1,1,1,1,8
3,1,2,1,2,1,1,1,1,1,1,8
2,1,2,2,2,2,2,1,1,1,1,8
1,1,3,3,3,2,1,1,2,3,1,8
1,1,3,2,3,1,2,1,1,1,1,8
1,2,1,2,2,2,2,1,1,1,1,8
1,1,1,1,2,1,1,1,1,1,1,8
1,2,1,1,2,2,3,2,2,2,3,8
3,1,1,2,2,2,2,1,1,1,1,8
3,1,1,2,2,1,2,1,1,1,1,8
1,1,3,3,3,2,2,1,2,2,2,8
1,1,1,2,2,2,2,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
3,1,1,1,2,1,1,1,1,1,1,8
1,2,2,1,1,2,2,1,1,1,2,8
1,1,1,1,1,1,2,1,1,1,1,8
1,1,2,1,1,1,2,2,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
1,1,1,2,2,1,3,1,1,1,1,8
1,1,2,1,2,1,1,1,1,1,1,8
3,1,2,1,1,1,1,1,1,2,1,8
1,1,3,1,3,1,1,1,2,2,1,8
1,1,2,1,2,2,2,1,2,1,2,8
3,2,1,2,2,3,3,2,1,1,1,8
2,1,3,3,3,2,2,1,1,1,1,8
1,1,1,1,2,2,2,1,1,1,1,8
1,1,1,1,2,2,2,1,1,1,1,8
1,1,1,2,2,2,2,1,2,3,3,8
1,1,1,1,2,1,1,1,1,1,1,8
1,1,3,2,2,1,1,1,1,1,1,8
1,1,3,3,3,1,1,1,1,1,1,8
1,1,1,1,1,1,3,1,1,1,1,8
1,1,1,2,2,1,2,1,1,1,1,8
1,2,2,1,2,2,2,1,1,1,1,8
3,1,1,1,1,3,3,1,1,1,1,8
3,1,1,2,2,1,2,2,1,1,1,8
2,1,3,2,3,1,1,1,1,1,1,8
1,1,1,2,3,1,1,1,1,1,1,8
1,2,1,2,2,1,1,1,1,1,1,8
3,1,3,1,3,1,1,1,1,1,1,8
1,1,2,1,1,3,3,3,1,1,1,8
3,1,1,2,2,1,1,1,1,1,1,8
1,1,1,2,2,2,2,1,1,1,1,8
1,1,3,3,3,2,3,3,1,1,1,8
3,1,1,1,2,1,1,1,1,1,1,8
1,1,2,2,3,3,3,2,1,1,1,8
1,1,3,1,2,2,2,1,1,1,1,8
