praf,pmek,plcg,PIP2,PIP3,p44.42,pakts473,PKA,PKC,P38,pjnk
70.4,25.3,12.3,145,21.1,4.53,24.6,255,4.83,18.8,51.9
102,30.8,7.17,82,49.1,20.2,25,343,3.96,26.9,87.4
78.4,33.1,25.3,27.4,46.6,66.7,164,3220,17.8,29.7,18.3
83.5,61.5,13,34.6,12.3,3.46,19.5,239,2.53,2.69,6.1
42.9,24.6,24.8,59.4,20.7,22.5,41.8,407,21.1,44.9,18.8
42.2,44.1,7.99,85.8,20,28.9,54.7,441,24.4,34.6,8.82
157,51.9,12.3,21.7,45.3,5.99,45.3,49.1,7.77,10.3,41
38.5,7.3,3.13,17,17.5,29.4,41.8,470,27.4,42.9,16
23.1,12.1,25.3,36.5,17,14.1,29.4,392,15.7,26.4,16.5
48.3,28.6,26.7,84.3,29.7,5.67,16.5,491,5.38,38.5,121
104,38.2,28.1,27.6,86.6,14.3,23.5,474,24.8,27.6,9.73
85.1,26.9,25.3,47.8,22.9,13.6,14.2,396,4.74,8.98,43.3
55.7,28.6,25.9,51.9,64.9,7.5,17.6,271,2.21,4.45,9.73
39.6,38.2,10.5,92.2,22.7,27.6,31.3,223,16.5,30.8,7.64
89,30,44.9,47,7.37,52.8,97.3,2288,69.8,94.7,8.28
31.9,22.5,15.7,32.5,26.9,7.43,25.9,655,17.9,44.1,14.7
18.8,19.5,25.9,322,51.9,10.5,23.1,365,3.79,10.9,73.7
81.3,24.8,21.5,25,4.53,181,248,621,15.3,34,22.1
137,50,8.28,29.2,14.5,6.98,17.9,281,4.18,23.5,123
59.4,25.3,14.9,61.5,26.2,22.5,36.5,239,2.74,14.5,77.7
69.8,33.1,12.7,67.3,1.91,4.07,27.1,973,85.8,121,32.5
46.6,21.3,17.5,56.7,35.9,46.1,75,359,25.9,39.6,16.4
25.7,15.3,1,120,23.7,2.69,18.9,10.2,4.96,40.3,221
42.6,22.7,14.3,204,33.7,56.2,87.4,578,5.62,22.3,102
18.6,29.2,13.5,17,13.7,17.9,21.1,346,11,23.5,15.3
82.8,26.9,7.84,142,3.85,17.6,25.3,297,34,71.7,33.7
